Order_date,Region,State,Product_SKU,Sales,Predicted_values
2014-12-29 00:00:00,East,New York,CD-24,272,239.08603460885394
2014-12-30 00:00:00,East,New York,CD-24,255,247.14468056027695
2014-12-31 00:00:00,East,New York,CD-24,,247.941240167342
2015-01-01 00:00:00,East,New York,CD-24,,177.60317830406288
2015-01-02 00:00:00,East,New York,CD-24,,175.72945526913352
2015-01-03 00:00:00,East,New York,CD-24,,231.99204284545968
2015-01-04 00:00:00,East,New York,CD-24,,239.56041017691044
2015-01-05 00:00:00,East,New York,CD-24,,239.08603460885394
2015-01-06 00:00:00,East,New York,CD-24,,247.14468056027695
2014-12-25 00:00:00,East,Texas,BV-23,169,253.65349588164824
2014-12-26 00:00:00,East,Texas,BV-23,163,200.38301571987483
2014-12-27 00:00:00,East,Texas,BV-23,153,186.2121159853025
2014-12-28 00:00:00,East,Texas,BV-23,223,251.24657324644198
2014-12-29 00:00:00,East,Texas,BV-23,248,258.5238650913591
2014-12-30 00:00:00,East,Texas,BV-23,228,257.94905222404026
2014-12-31 00:00:00,East,Texas,BV-23,229,263.0700924408931
2015-01-01 00:00:00,East,Texas,BV-23,,253.65349588164824
2015-01-02 00:00:00,East,Texas,BV-23,,200.38301571987483
2015-01-03 00:00:00,East,Texas,BV-23,,186.2121159853025
2015-01-04 00:00:00,East,Texas,BV-23,,251.24657324644198
2015-01-05 00:00:00,East,Texas,BV-23,,258.5238650913591
2015-01-06 00:00:00,East,Texas,BV-23,,257.94905222404026
2015-01-07 00:00:00,East,Texas,BV-23,,263.0700924408931
2014-12-25 00:00:00,East,Texas,CD-24,187,202.7074796828506
2014-12-26 00:00:00,East,Texas,CD-24,160,186.89903485529467
2014-12-27 00:00:00,East,Texas,CD-24,188,244.98605522695817
2014-12-28 00:00:00,East,Texas,CD-24,247,269.32870472825954
2014-12-29 00:00:00,East,Texas,CD-24,283,263.3910295922006
2014-12-30 00:00:00,East,Texas,CD-24,248,265.74405753401606
2014-12-31 00:00:00,East,Texas,CD-24,205,267.51069158767865
2015-01-01 00:00:00,East,Texas,CD-24,,202.7074796828506
2015-01-02 00:00:00,East,Texas,CD-24,,186.89903485529467
2015-01-03 00:00:00,East,Texas,CD-24,,244.98605522695817
2015-01-04 00:00:00,East,Texas,CD-24,,269.32870472825954
2015-01-05 00:00:00,East,Texas,CD-24,,263.3910295922006
2015-01-06 00:00:00,East,Texas,CD-24,,265.74405753401606
2015-01-07 00:00:00,East,Texas,CD-24,,267.51069158767865
2014-12-25 00:00:00,East,Washington,BV-23,192,289.15270077294366
2014-12-26 00:00:00,East,Washington,BV-23,221,281.70370816524894
2014-12-27 00:00:00,East,Washington,BV-23,285,284.34199216349583
2014-12-28 00:00:00,East,Washington,BV-23,327,287.51973327552366
2014-12-29 00:00:00,East,Washington,BV-23,226,225.47313286485496
2014-12-30 00:00:00,East,Washington,BV-23,213,213.29740903594669
2014-12-31 00:00:00,East,Washington,BV-23,230,273.9822047094932
2015-01-01 00:00:00,East,Washington,BV-23,,289.15270077294366
2015-01-02 00:00:00,East,Washington,BV-23,,281.70370816524894
2015-01-03 00:00:00,East,Washington,BV-23,,284.34199216349583
2015-01-04 00:00:00,East,Washington,BV-23,,287.51973327552366
2015-01-05 00:00:00,East,Washington,BV-23,,225.47313286485496
2015-01-06 00:00:00,East,Washington,BV-23,,213.29740903594669
2015-01-07 00:00:00,East,Washington,BV-23,,273.9822047094932
2014-12-25 00:00:00,East,Washington,CD-24,232,261.48200947577686
2014-12-26 00:00:00,East,Washington,CD-24,168,278.56583019583405
2014-12-27 00:00:00,East,Washington,CD-24,216,270.14186660351487
2014-12-28 00:00:00,East,Washington,CD-24,207,195.234103196572
2014-12-29 00:00:00,East,Washington,CD-24,213,217.0774340010542
2014-12-30 00:00:00,East,Washington,CD-24,278,259.3414851007993
2014-12-31 00:00:00,East,Washington,CD-24,286,269.54829169743584
2015-01-01 00:00:00,East,Washington,CD-24,,261.48200947577686
2015-01-02 00:00:00,East,Washington,CD-24,,278.56583019583405
2015-01-03 00:00:00,East,Washington,CD-24,,270.14186660351487
2015-01-04 00:00:00,East,Washington,CD-24,,195.234103196572
2015-01-05 00:00:00,East,Washington,CD-24,,217.0774340010542
2015-01-06 00:00:00,East,Washington,CD-24,,259.3414851007993
2015-01-07 00:00:00,East,Washington,CD-24,,269.54829169743584
2014-12-25 00:00:00,West,California,BV-23,163,201.7414049791098
2014-12-26 00:00:00,West,California,BV-23,153,185.97325507971743
2014-12-27 00:00:00,West,California,BV-23,223,249.87942732373574
2014-12-28 00:00:00,West,California,BV-23,248,256.2149696471845
2014-12-29 00:00:00,West,California,BV-23,228,255.07139204657815
2014-12-30 00:00:00,West,California,BV-23,229,259.57021449892045
2014-12-31 00:00:00,West,California,BV-23,182,257.5836542717034
2015-01-01 00:00:00,West,California,BV-23,,201.7414049791098
2015-01-02 00:00:00,West,California,BV-23,,185.97325507971743
2015-01-03 00:00:00,West,California,BV-23,,249.87942732373574
2015-01-04 00:00:00,West,California,BV-23,,256.2149696471845
2015-01-05 00:00:00,West,California,BV-23,,255.07139204657815
2015-01-06 00:00:00,West,California,BV-23,,259.57021449892045
2015-01-07 00:00:00,West,California,BV-23,,257.5836542717034
2014-12-25 00:00:00,West,California,CD-24,188,245.7529643325774
2014-12-26 00:00:00,West,California,CD-24,247,266.7876088756779
2014-12-27 00:00:00,West,California,CD-24,283,262.8910218898931
2014-12-28 00:00:00,West,California,CD-24,248,264.4525634164625
2014-12-29 00:00:00,West,California,CD-24,205,266.5841178069145
2014-12-30 00:00:00,West,California,CD-24,182,199.89302006836607
2014-12-31 00:00:00,West,California,CD-24,169,188.3508857995807
2015-01-01 00:00:00,West,California,CD-24,,245.7529643325774
2015-01-02 00:00:00,West,California,CD-24,,266.7876088756779
2015-01-03 00:00:00,West,California,CD-24,,262.8910218898931
2015-01-04 00:00:00,West,California,CD-24,,264.4525634164625
2015-01-05 00:00:00,West,California,CD-24,,266.5841178069145
2015-01-06 00:00:00,West,California,CD-24,,199.89302006836607
